medicine_name,generic_name,category,stock_quantity,unit_price,manufacturer,expiry_date,description,image_url
Dolo 650,Paracetamol 650mg,Analgesic,250,12.50,Micro Labs,2026-12-31,Fever and pain relief tablet,https://images.unsplash.com/photo-1584308666744-24d5c474f2ae?w=400&h=280&fit=crop
Crocin 500,Paracetamol 500mg,Analgesic,180,8.00,GSK,2026-08-31,Fast-acting paracetamol for mild to moderate pain,https://images.unsplash.com/photo-1584308666744-24d5c474f2ae?w=400&h=280&fit=crop
Combiflam,Ibuprofen+Paracetamol 400/325mg,Analgesic,220,24.00,Sanofi,2026-12-31,Dual-action pain and fever relief,https://images.unsplash.com/photo-1550572017-edd951b55104?w=400&h=280&fit=crop
Brufen 400,Ibuprofen 400mg,Anti-inflammatory,170,15.00,Abbott,2026-09-30,NSAID for pain and inflammation,https://images.unsplash.com/photo-1550572017-edd951b55104?w=400&h=280&fit=crop
Voveran 50,Diclofenac Sodium 50mg,Anti-inflammatory,8,12.00,Novartis,2026-06-30,Powerful NSAID for joint and muscle pain,https://images.unsplash.com/photo-1550572017-edd951b55104?w=400&h=280&fit=crop
Amoxil 500,Amoxicillin 500mg,Antibiotic,85,45.00,Cipla,2026-06-30,Broad-spectrum penicillin antibiotic,https://images.unsplash.com/photo-1631549916768-4119b2e5f926?w=400&h=280&fit=crop
Azithral 500,Azithromycin 500mg,Antibiotic,60,72.00,Alkem,2026-07-31,Macrolide antibiotic for respiratory infections,https://images.unsplash.com/photo-1631549916768-4119b2e5f926?w=400&h=280&fit=crop
Augmentin 625,Amoxicillin+Clavulanate 625mg,Antibiotic,40,125.00,GSK,2026-05-31,Beta-lactam antibiotic with clavulanate,https://images.unsplash.com/photo-1631549916768-4119b2e5f926?w=400&h=280&fit=crop
Clavam 625,Amoxicillin+Clavulanate 625mg,Antibiotic,55,118.00,Alkem,2026-07-31,Antibiotic for skin and urinary infections,https://images.unsplash.com/photo-1631549916768-4119b2e5f926?w=400&h=280&fit=crop
Cetiriz 10,Cetirizine 10mg,Antihistamine,200,18.00,Cipla,2027-01-31,Second-gen antihistamine for allergy relief,https://images.unsplash.com/photo-1587854692152-cbe660dbde88?w=400&h=280&fit=crop
Allegra 120,Fexofenadine 120mg,Antihistamine,150,48.00,Sanofi,2027-02-28,Non-drowsy antihistamine for allergic rhinitis,https://images.unsplash.com/photo-1587854692152-cbe660dbde88?w=400&h=280&fit=crop
Montair 10,Montelukast 10mg,Antiasthmatic,140,52.00,Cipla,2026-11-30,Leukotriene receptor antagonist for asthma,https://images.unsplash.com/photo-1587854692152-cbe660dbde88?w=400&h=280&fit=crop
